epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33978,1.55185,2.66562,1.41194,0.00641,1,0.57966,0.33314,1.19437,2.82157,1.37232,4e-05,4e-05,4e-05
2,12.493,1.5013,2.71555,1.43242,0.00641,1,0.54855,0.28607,1.20517,2.81713,1.36837,9.901e-05,9.901e-05,9.901e-05
3,18.6569,1.2551,2.58884,1.33914,0.00641,1,0.84911,0.61108,0.78008,2.76303,1.00411,0.000156832,0.000156832,0.000156832
4,25.1477,0.97558,2.33157,1.12283,0.00641,1,0.96282,0.73477,0.68968,2.7312,0.93786,0.000213466,0.000213466,0.000213466
5,31.3579,0.95188,2.01452,1.12276,0.00641,1,0.94699,0.71395,0.70068,2.66497,0.97526,0.000268912,0.000268912,0.000268912
6,33.7556,0.8961,1.71937,1.11496,0.00641,1,0.94172,0.72108,0.74269,2.58751,1.04683,0.00032317,0.00032317,0.00032317
7,36.0932,0.95428,1.5757,1.15531,0.00641,1,0.95761,0.74206,0.7649,2.4801,1.06331,0.00037624,0.00037624,0.00037624
8,40.2098,0.85513,1.38119,1.11033,0.00641,1,0.96677,0.7495,0.74301,2.45257,1.03895,0.000428122,0.000428122,0.000428122
9,46.5449,0.96682,1.35861,1.17274,0.01435,1,0.95377,0.67038,0.88861,2.49497,1.08144,0.000478816,0.000478816,0.000478816
10,52.7933,1.00248,1.23018,1.19967,0.025,1,0.93974,0.62332,0.94559,2.51596,1.12449,0.000528322,0.000528322,0.000528322
11,59.1145,0.89683,1.11452,1.13969,1,0.44839,0.86139,0.52406,1.26111,2.68365,1.43945,0.00057664,0.00057664,0.00057664
12,65.4415,0.93084,1.16938,1.16495,1,0.50193,0.87616,0.59648,1.15941,2.52853,1.32785,0.00062377,0.00062377,0.00062377
13,71.6906,0.93661,1.11408,1.1614,0.9778,0.92,0.98389,0.71841,0.99915,1.79322,1.25541,0.000669712,0.000669712,0.000669712
14,77.9424,0.91457,1.08978,1.13821,1,0.91826,0.99346,0.7036,1.02157,1.67231,1.32771,0.000714466,0.000714466,0.000714466
15,84.2039,0.91404,1.08144,1.12243,0.86409,0.84,0.95564,0.64584,1.0206,1.86951,1.37553,0.000758032,0.000758032,0.000758032
16,90.387,0.93544,1.0295,1.12,0.95301,0.81158,0.94927,0.60781,1.14123,1.98039,1.46299,0.00080041,0.00080041,0.00080041
17,96.6298,0.92709,1.09313,1.13547,0.95182,0.79051,0.89493,0.63567,1.02258,1.98295,1.39333,0.0008416,0.0008416,0.0008416
18,102.799,0.95318,0.99982,1.11014,0.94477,0.68444,0.88683,0.61597,1.09426,1.91501,1.52115,0.000881602,0.000881602,0.000881602
19,108.97,0.88372,0.9302,1.08382,0.83064,0.84,0.88824,0.58509,1.25041,1.96863,1.82041,0.000920416,0.000920416,0.000920416
20,115.148,0.94747,1.00794,1.16367,1,0.62381,0.83168,0.56678,1.17393,2.00718,1.72182,0.000958042,0.000958042,0.000958042
21,121.334,0.91106,0.95844,1.09819,0.8791,0.64,0.76575,0.48354,1.35031,2.12467,1.80221,0.00099448,0.00099448,0.00099448
22,127.527,0.86624,0.88935,1.05887,0.84314,0.68,0.71718,0.38125,1.69236,2.24906,2.0514,0.00102973,0.00102973,0.00102973
23,133.267,0.87802,0.9312,1.09329,0.89677,0.69546,0.85378,0.51808,1.52962,2.1149,1.81768,0.00106379,0.00106379,0.00106379
24,139.185,0.90633,0.96864,1.11648,0.95338,0.81855,0.96702,0.6967,1.06812,1.95108,1.45171,0.00109667,0.00109667,0.00109667
25,145.091,0.98651,0.92955,1.08369,0.88636,0.84,0.92854,0.67389,0.99418,1.86428,1.44058,0.00112835,0.00112835,0.00112835
26,150.95,0.92699,1.04872,1.14812,0.96015,0.84,0.94107,0.62191,1.19813,1.89811,1.52133,0.00115885,0.00115885,0.00115885
27,153.192,0.94105,0.91032,1.11015,1,0.86795,0.9503,0.63453,1.09628,1.85239,1.37265,0.00118816,0.00118816,0.00118816
28,159.064,0.82702,0.88906,1.04762,1,0.90689,0.95728,0.66326,1.02564,1.62889,1.30839,0.00121628,0.00121628,0.00121628
29,164.899,0.91951,0.91858,1.1202,1,0.90689,0.95728,0.66326,1.02564,1.62889,1.30839,0.00124322,0.00124322,0.00124322
30,170.924,0.93558,0.88916,1.11675,0.94559,0.88,0.87426,0.62511,1.2712,1.50681,1.55631,0.00126896,0.00126896,0.00126896
31,177.146,0.92408,0.85233,1.07969,0.94531,0.8,0.86041,0.52257,1.60941,1.70044,1.8108,0.00129352,0.00129352,0.00129352
32,183.175,0.92352,0.89975,1.0691,0.94301,0.88,0.94566,0.5392,1.45424,1.54711,1.72919,0.00131689,0.00131689,0.00131689
33,189.12,0.91948,0.85842,1.08452,0.94301,0.88,0.94566,0.5392,1.45424,1.54711,1.72919,0.00133907,0.00133907,0.00133907
34,195.385,0.96172,0.91243,1.09603,0.94551,0.92,0.97294,0.69173,1.08268,1.48149,1.40281,0.0013466,0.0013466,0.0013466
35,201.51,0.83915,0.79023,1.03419,0.95884,0.9321,0.9837,0.73089,0.96746,1.37046,1.28991,0.0013268,0.0013268,0.0013268
36,207.763,0.83936,0.81314,1.07095,0.9598,0.95526,0.97481,0.70696,1.01356,1.37239,1.27205,0.001307,0.001307,0.001307
37,211.593,0.95265,0.86729,1.12105,0.9598,0.95526,0.97481,0.70696,1.01356,1.37239,1.27205,0.0012872,0.0012872,0.0012872
38,216.781,0.80516,0.81278,1.04631,0.95544,1,0.97192,0.72522,0.9093,1.29374,1.2516,0.0012674,0.0012674,0.0012674
39,222.812,0.82756,0.81266,1.0326,0.91779,1,0.96241,0.72062,0.92095,1.41231,1.24067,0.0012476,0.0012476,0.0012476
40,228.904,0.93929,0.82433,1.08842,0.92485,0.98484,0.96074,0.7185,0.91003,1.30106,1.21186,0.0012278,0.0012278,0.0012278
41,235.147,0.88417,0.84268,1.10301,0.92485,0.98484,0.96074,0.7185,0.91003,1.30106,1.21186,0.001208,0.001208,0.001208
42,241.372,0.8259,0.76009,1.02939,0.95967,0.95201,0.97471,0.69786,0.93186,1.24658,1.26493,0.0011882,0.0011882,0.0011882
43,247.633,0.84845,0.80385,1.07286,0.95322,1,0.99192,0.7148,0.95552,1.18553,1.34825,0.0011684,0.0011684,0.0011684
44,254.364,0.79351,0.76217,1.0308,0.93855,1,0.98115,0.70846,0.89762,1.14191,1.32749,0.0011486,0.0011486,0.0011486
45,260.591,0.85088,0.74925,1.03127,0.93855,1,0.98115,0.70846,0.89762,1.14191,1.32749,0.0011288,0.0011288,0.0011288
46,266.67,0.80596,0.7449,1.03384,0.96139,1,0.99192,0.72952,0.94237,1.04441,1.41675,0.001109,0.001109,0.001109
47,273.082,0.7758,0.73095,1.06823,0.99694,1,0.995,0.73808,0.98416,1.00029,1.39251,0.0010892,0.0010892,0.0010892
48,279.657,0.75316,0.74437,1.03767,0.98294,1,0.995,0.73985,0.96593,0.98266,1.25387,0.0010694,0.0010694,0.0010694
49,282.018,0.82842,0.71801,1.04255,0.98294,1,0.995,0.73985,0.96593,0.98266,1.25387,0.0010496,0.0010496,0.0010496
50,286.093,0.79789,0.72133,1.01281,0.95767,1,0.99038,0.75728,0.90014,0.91356,1.17178,0.0010298,0.0010298,0.0010298
51,288.433,0.85339,0.75056,1.06712,0.95778,1,0.98885,0.75882,0.88667,0.87866,1.14374,0.00101,0.00101,0.00101
52,291.078,0.76324,0.69671,1.02632,0.95144,1,0.99038,0.70369,0.96795,0.85483,1.1743,0.0009902,0.0009902,0.0009902
53,297.063,0.83098,0.71004,1.03381,0.95144,1,0.99038,0.70369,0.96795,0.85483,1.1743,0.0009704,0.0009704,0.0009704
54,303.061,0.7986,0.6845,1.01361,0.95256,1,0.99192,0.71854,0.97406,0.86517,1.21544,0.0009506,0.0009506,0.0009506
55,309.031,0.77562,0.73471,1.04319,0.95847,1,0.99192,0.70437,0.9688,0.88976,1.22797,0.0009308,0.0009308,0.0009308
56,315.018,0.73123,0.68064,1.0018,0.96152,0.99964,0.98885,0.76859,0.88709,0.84306,1.15839,0.000911,0.000911,0.000911
57,321.241,0.88306,0.72082,1.0575,0.96152,0.99964,0.98885,0.76859,0.88709,0.84306,1.15839,0.0008912,0.0008912,0.0008912
58,327.446,0.79473,0.71699,1.0336,0.96084,0.98176,0.98885,0.77144,0.83577,0.79586,1.09537,0.0008714,0.0008714,0.0008714
59,333.636,0.78544,0.69315,1.04813,0.96004,1,0.98885,0.78462,0.82653,0.77687,1.10073,0.0008516,0.0008516,0.0008516
60,336.127,0.83815,0.73305,1.04492,0.95776,1,0.96115,0.80164,0.73686,0.77145,1.05871,0.0008318,0.0008318,0.0008318
61,340.473,0.82506,0.68976,1.05566,0.95776,1,0.96115,0.80164,0.73686,0.77145,1.05871,0.000812,0.000812,0.000812
62,346.715,0.7304,0.67046,1.01843,0.9571,1,0.96269,0.79371,0.78269,0.76844,1.03242,0.0007922,0.0007922,0.0007922
63,349.169,0.70784,0.66388,1.01499,0.95926,1,0.96269,0.77032,0.87158,0.79567,1.07196,0.0007724,0.0007724,0.0007724
64,353.719,0.72048,0.64311,1.02162,0.9614,0.99645,0.95962,0.77967,0.85605,0.82571,1.03745,0.0007526,0.0007526,0.0007526
65,359.956,0.73851,0.66613,1.01054,0.9614,0.99645,0.95962,0.77967,0.85605,0.82571,1.03745,0.0007328,0.0007328,0.0007328
66,366.193,0.70305,0.66352,1.00769,0.95905,1,0.95962,0.76299,0.86154,0.80574,1.04245,0.000713,0.000713,0.000713
67,372.188,0.76034,0.68425,1.02481,0.95846,1,0.95673,0.7516,0.83786,0.79713,1.02629,0.0006932,0.0006932,0.0006932
68,378.189,0.65464,0.62381,0.98282,0.95802,1,0.95673,0.74851,0.82885,0.80508,1.01606,0.0006734,0.0006734,0.0006734
69,384.133,0.76791,0.65781,1.03902,0.95802,1,0.95673,0.74851,0.82885,0.80508,1.01606,0.0006536,0.0006536,0.0006536
70,386.52,0.71672,0.64508,0.98437,0.95798,1,0.95673,0.74523,0.82101,0.77946,1.03075,0.0006338,0.0006338,0.0006338
71,389.431,0.764,0.66793,1.03335,0.9589,1,0.95673,0.76828,0.79412,0.75396,1.03289,0.000614,0.000614,0.000614
72,395.625,0.76167,0.64086,1.01053,0.95861,1,0.95962,0.77608,0.82566,0.7361,1.06484,0.0005942,0.0005942,0.0005942
73,401.837,0.69196,0.67329,1.01259,0.95861,1,0.95962,0.77608,0.82566,0.7361,1.06484,0.0005744,0.0005744,0.0005744
74,407.867,0.7433,0.62819,1.01213,0.9592,1,0.975,0.7835,0.86029,0.71369,1.08065,0.0005546,0.0005546,0.0005546
75,413.881,0.71626,0.59973,0.9812,0.95897,1,0.98423,0.80391,0.82932,0.69498,1.0715,0.0005348,0.0005348,0.0005348
76,419.88,0.69823,0.59748,1.00735,0.95762,1,0.98885,0.81929,0.76538,0.67974,1.04663,0.000515,0.000515,0.000515
77,425.902,0.70264,0.60943,1.00463,0.95762,1,0.98885,0.81929,0.76538,0.67974,1.04663,0.0004952,0.0004952,0.0004952
78,432.147,0.68434,0.59058,0.98798,0.95724,1,0.99038,0.81379,0.75093,0.68186,1.03651,0.0004754,0.0004754,0.0004754
79,438.18,0.64778,0.59048,0.98241,0.99519,1,0.995,0.81435,0.77489,0.64763,1.05866,0.0004556,0.0004556,0.0004556
80,444.158,0.67966,0.56869,0.99712,0.99599,1,0.995,0.81266,0.77308,0.62862,1.0917,0.0004358,0.0004358,0.0004358
81,450.494,0.72682,0.58526,0.96662,0.99599,1,0.995,0.81266,0.77308,0.62862,1.0917,0.000416,0.000416,0.000416
82,453.184,0.68789,0.60622,1.02762,0.99636,1,0.995,0.83787,0.74866,0.60214,1.11404,0.0003962,0.0003962,0.0003962
83,459.444,0.71895,0.59681,1.01397,0.99614,1,0.995,0.81906,0.77402,0.59419,1.14364,0.0003764,0.0003764,0.0003764
84,465.511,0.6521,0.54413,0.95958,0.99632,1,0.995,0.81712,0.78323,0.59515,1.15183,0.0003566,0.0003566,0.0003566
85,471.637,0.63251,0.5544,0.95089,0.99632,1,0.995,0.81712,0.78323,0.59515,1.15183,0.0003368,0.0003368,0.0003368
86,477.685,0.66275,0.57997,0.98034,0.99478,1,0.995,0.81354,0.76802,0.60574,1.14138,0.000317,0.000317,0.000317
87,480.062,0.63397,0.55272,0.96323,0.99166,1,0.995,0.81307,0.77125,0.62243,1.14116,0.0002972,0.0002972,0.0002972
88,484.247,0.6225,0.54897,0.95452,0.98461,1,0.995,0.80716,0.76937,0.61886,1.13123,0.0002774,0.0002774,0.0002774
89,486.721,0.6481,0.55917,0.98138,0.98461,1,0.995,0.80716,0.76937,0.61886,1.13123,0.0002576,0.0002576,0.0002576
90,490.671,0.64729,0.54029,0.97824,0.98133,1,0.995,0.80705,0.76189,0.61238,1.11796,0.0002378,0.0002378,0.0002378
91,526.7,0.61807,0.68083,0.936,0.95409,1,0.99346,0.80282,0.76711,0.60048,1.10019,0.000218,0.000218,0.000218
92,528.872,0.54501,0.61564,0.91583,0.95363,1,0.99346,0.81264,0.78096,0.60378,1.08104,0.0001982,0.0001982,0.0001982
93,532.005,0.57584,0.60104,0.94699,0.95363,1,0.99346,0.81264,0.78096,0.60378,1.08104,0.0001784,0.0001784,0.0001784
94,534.338,0.55678,0.60851,0.92762,0.95345,1,0.99346,0.81214,0.78049,0.59713,1.06227,0.0001586,0.0001586,0.0001586
95,536.95,0.56645,0.59242,0.92485,0.95313,1,0.99346,0.81159,0.78294,0.59485,1.05877,0.0001388,0.0001388,0.0001388
96,543.004,0.59343,0.59239,0.9112,0.9546,1,0.99346,0.82023,0.77375,0.59665,1.05458,0.000119,0.000119,0.000119
97,545.286,0.56613,0.58108,0.91568,0.9546,1,0.99346,0.82023,0.77375,0.59665,1.05458,9.92e-05,9.92e-05,9.92e-05
98,547.801,0.5436,0.5982,0.89247,0.95486,1,0.99346,0.82346,0.7589,0.59754,1.05504,7.94e-05,7.94e-05,7.94e-05
99,553.808,0.54775,0.55942,0.90672,0.95511,1,0.99346,0.82308,0.74581,0.59979,1.05337,5.96e-05,5.96e-05,5.96e-05
100,559.931,0.51272,0.57024,0.9319,0.95442,1,0.99346,0.82042,0.74122,0.60414,1.05937,3.98e-05,3.98e-05,3.98e-05
